Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,PCLK,Channel 15
11.359961472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359961592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359961976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359962088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359962472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359962592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359962976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359963088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359963472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359963592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359963976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359964088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359964472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359964592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359964976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359965088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359965472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359965592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359965976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359966088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359966472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359966592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359966976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359967088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359967472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359967592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359967976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359968088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359968472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359968592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359968976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359969088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359969472,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359969592,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
11.359969976,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
11.359970088,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
